Date,buy_hold,trend,voltgt,trend_voltgt
1871-02-01,0.018393393393393298,,,
1871-03-01,0.029259259259259318,0.004441666666666667,,
1871-04-01,0.03289949385394064,0.004441666666666667,,
1871-05-01,0.029887482419127975,0.004441666666666667,,
1871-06-01,-0.0037722908093278384,0.00445,,
1871-07-01,-0.014177040110650019,0.00445,,
1871-08-01,0.01726568005637752,0.00445,,
1871-09-01,0.014961725817675742,0.004458333333333333,,
1871-10-01,-0.04717630853994492,0.004458333333333333,,
1871-11-01,0.01561365286855465,0.004458333333333333,,
1871-12-01,0.026221264367816133,0.0044666666666666665,,
1872-01-01,0.029945499296765155,0.029945499296765155,,
1872-02-01,0.008688271604938125,0.008688271604938125,0.008688271604938125,0.008688271604938125
1872-03-01,0.03739754098360648,0.03739754098360648,0.03739754098360648,0.03739754098360648
1872-04-01,0.03229662698412694,0.03229662698412694,0.03229662698412694,0.03229662698412694
1872-05-01,0.004451415701415717,0.004451415701415717,0.004451415701415717,0.004451415701415717
1872-06-01,-0.005148005148005064,-0.005148005148005064,-0.005148005148005064,-0.005148005148005064
1872-07-01,-0.0012459389213774763,-0.0012459389213774763,-0.0012459389213774763,-0.0012459389213774763
1872-08-01,-0.007080065359477028,-0.007080065359477028,-0.007080065359477028,-0.007080065359477028
1872-09-01,-0.013062169312169192,-0.013062169312169192,-0.013062169312169192,-0.013062169312169192
1872-10-01,0.008978114478114252,0.0046,0.008978114478114252,0.0046
1872-11-01,0.0009507042253522613,0.0046166666666666665,0.0009507042253522613,0.0046166666666666665
1872-12-01,0.02929292929292937,0.004633333333333333,0.02929292929292937,0.004633333333333333
1873-01-01,0.01286160420775806,0.01286160420775806,0.01286160420775806,0.01286160420775806
1873-02-01,0.01280169602087411,0.01280169602087411,0.01280169602087411,0.01280169602087411
1873-03-01,-0.002791262135922401,-0.002791262135922401,-0.002791262135922401,-0.002791262135922401
1873-04-01,-0.008643183300717672,-0.008643183300717672,-0.008643183300717672,-0.008643183300717672
1873-05-01,0.007151124338624415,0.0046166666666666665,0.007151124338624415,0.0046166666666666665
1873-06-01,-0.00866336633663356,-0.00866336633663356,-0.00866336633663356,-0.00866336633663356
