tk,buy_hold_sharpe,buy_hold_dd,buy_hold_cagr,trend_sharpe,trend_dd,trend_cagr,voltgt_sharpe,voltgt_dd,voltgt_cagr,trend_voltgt_sharpe,trend_voltgt_dd,trend_voltgt_cagr
A,0.46480016817612824,-0.45232233710815606,0.0860216772885467,0.6412423413266889,-0.14307550106787714,0.0832413268535177,0.5295742630274813,-0.31227858169706746,0.0689905945567304,0.5873286262884019,-0.12184117181624243,0.054775839750703215
AAL,0.8803510903920195,-0.5468077474892397,0.2841229599831516,0.4825806774327852,-0.2741716771588729,0.08832987719189878,0.6298514107476607,-0.2546026808090731,0.08133313085251914,0.4991875685203743,-0.1406591066189542,0.044186450436149105
AAP,0.3713165479568773,-0.6038526799081743,0.06869467243328375,0.4545056957696653,-0.2390105988708947,0.06537619291905461,0.27077903983667645,-0.42820164889836343,0.03255635739913276,0.26650143230014667,-0.21195266042225347,0.024931611016979494
AAPL,0.8552371064235758,-0.3207518796992481,0.18679751633150055,0.9301033324712004,-0.20145927773510386,0.14450925864010644,0.8926841276408627,-0.20748053321801407,0.12524302376687535,0.8809573473930554,-0.15868172715550766,0.09777258109092002
ABBV,0.9890533860207384,-0.3223360943422714,0.25715003594197294,0.5387279265112427,-0.3467657725162151,0.0863868136123711,1.0624210125477624,-0.1956018190706289,0.14955993367728349,0.6760133227074423,-0.22538946521281367,0.07238062512897447
ABC,0.7431879217285619,-0.402234153100104,0.15002938352899053,0.28410112392224435,-0.25759694185500825,0.028427249576153724,0.5719905742605231,-0.3249586608746521,0.07788792241475284,0.22948457432773336,-0.20718816474944624,0.017693542680369934
ABT,0.6448557695861847,-0.2902343750000005,0.1128072990909621,0.5117824550795748,-0.22142946814715592,0.05588504645190495,0.5778572527519494,-0.242843623118578,0.07284587416232147,0.42738449822616154,-0.21111737933267394,0.03860522884862294
ACN,0.8936383772070551,-0.15417017691659674,0.1620404285504773,0.44890346110273405,-0.20158989946590122,0.05872950555311407,0.8264922896914192,-0.10075710855655184,0.11040403164080037,0.5172601849842376,-0.11597574701111779,0.05535145373611394
ADBE,1.4329339429699426,-0.22718710757639204,0.3757961197021771,1.0002036110052293,-0.19745238498583306,0.20522604082817852,1.3498909954662013,-0.10966216859347167,0.2230323862914243,1.0153383332264891,-0.11891747112228734,0.13490764968729474
ADI,0.6461220419549248,-0.28960000000000086,0.1332969630174874,0.4224226987689275,-0.306039241004434,0.06043926624888063,0.40836341758955064,-0.1874769549420311,0.048582457706171756,0.4091214082848815,-0.20037445505373064,0.04034978685963719
ADM,0.4088252228512802,-0.4319493576615159,0.06912649172585761,-0.07748558960018109,-0.24498794211127262,-0.018810303722010757,0.29791765440189066,-0.24510688189787233,0.032535900755853886,-0.06910329857749647,-0.1832396896626316,-0.010792405716718467
ADP,0.7775708250371508,-0.1847416278554016,0.13284881949949745,-0.07646819846958437,-0.3070645131118065,-0.021840444517093438,0.5025749264617893,-0.18257282508518757,0.06432203920039847,-0.22613050170052973,-0.3241232822210548,-0.03565438902462381
ADS,0.4904749626420825,-0.42847923590719983,0.09892285460803096,-0.13284160827460584,-0.2988569627867881,-0.0339402910484673,0.46184209741735843,-0.2613642426897801,0.058549797567652995,-0.22143066041792883,-0.1741749717865877,-0.026241767114523862
ADSK,0.8514263492142848,-0.34691376933680507,0.23276574552657614,0.5660192748642953,-0.2246056309307346,0.10798699590791272,0.7674012156702158,-0.17092412489442654,0.11357851124722584,0.5793339057474461,-0.155746176495988,0.07048722793481876
AEE,0.6602665534344369,-0.21723706176961521,0.10296923594826835,0.2116558894603557,-0.2743939349688935,0.019752640507212593,0.554454247746627,-0.1671770579094478,0.06558684003081638,0.27663405812172426,-0.19032577868260114,0.02372397949066296
AEP,0.5258028931379521,-0.18630943162459357,0.07668085136838343,0.19990293735874015,-0.2143348638499939,0.016951472228635023,0.41832827261376826,-0.17534686106345576,0.04678411960928508,0.22280630864413634,-0.15832675189940748,0.01669148400078102
AES,0.08247870339757582,-0.45150931278098905,-0.010911461916282006,-0.5670008798845575,-0.3065120769355777,-0.06276938951776856,-0.055929559955291565,-0.27420529622856304,-0.01638556966076332,-0.5057056420121777,-0.17894438412250724,-0.03331363923352548
AET,1.2099860618920713,-0.2887631975867262,0.2915666209605339,0.8404097906714153,-0.32082845500041623,0.14790065895781934,1.2740977562197968,-0.1410676121928519,0.17709123678577643,0.9497207293693377,-0.19393347317635568,0.10611590493254663
AFL,0.7332121287929192,-0.18153526970954403,0.1121622267960678,0.11236020581302987,-0.2045504292533865,0.006265700836842525,0.6281347530850342,-0.16795964666436602,0.07422581202575174,0.0782480808988006,-0.1897356131395116,0.002940614257239904
AGN,0.6133638571066686,-0.5181737849779091,0.1429545669235739,0.3702127246638975,-0.38998138240163704,0.04976971171969624,0.6577706262838331,-0.28445234673341224,0.08682215912479085,0.27588256078331863,-0.2299773673842328,0.02128000422059184
AIG,0.5325879220276443,-0.24403470715835074,0.09301305163386497,-0.24221619430379465,-0.22292761175441134,-0.040039436112033866,0.22747419135508753,-0.16008308469157817,0.022604767614246013,-0.4744566051549097,-0.24182896505075158,-0.05113010045026023
AIV,0.4310404834835105,-0.24698795180722832,0.06546953470702799,-0.04655538638233391,-0.327780530054418,-0.01549689881070182,0.3820094476258354,-0.17965588224152795,0.04216614727056012,-0.08202645376434788,-0.2539557823700521,-0.012332464696527712
AIZ,0.9142730392952785,-0.23706946204354307,0.18104417541820572,-0.012978899376756765,-0.24192266632891013,-0.015241422918168657,0.5638572977953723,-0.1513340621658097,0.07327506757525692,-0.12121814663519427,-0.15280413403823168,-0.020727730294401447
AJG,0.8062290814916026,-0.2678787878787885,0.11748547375598961,0.3127028802590629,-0.28614199132179463,0.028445681548363577,0.8021573240846225,-0.2060089818322458,0.09968923772365956,0.31581610539321775,-0.26181035675077746,0.02640935279783485
AKAM,0.5225566013097558,-0.4950229709035213,0.12750381859270754,-0.0005283668932756095,-0.4060491032185195,-0.024611508168780216,0.5002296534198472,-0.3113881912527403,0.07640961809371927,-0.11862651859654214,-0.2632610399637886,-0.022575952554530376
ALB,0.5234308411775844,-0.4246763976865874,0.1123749963784606,0.7202174665413924,-0.1844653479042745,0.11302398366101718,0.2879794964597823,-0.2915288742333143,0.03182921397087668,0.6056003352061381,-0.0885160647810358,0.056662526531571666
ALGN,1.3610301242112604,-0.30617670054730295,0.4833655887275443,0.7662252976386874,-0.46823828613798235,0.1772613888631991,1.4013407504037114,-0.1360090207832847,0.2531570428998591,0.926653449315084,-0.1959597490818593,0.13421467885893112
ALK,0.7894714729691671,-0.38467677573822734,0.2146057664232719,0.7214563643627547,-0.2028440097679095,0.14239129120062444,0.49221894578441766,-0.22451082402960487,0.060798113257689135,0.6415563419145902,-0.10174239548257369,0.06233704776042637
ALL,1.0316521776875751,-0.21479746486635432,0.16528188468453653,0.6577427271930435,-0.21888405793650934,0.07572841945633946,0.9215469464997591,-0.16427825664979312,0.11965196573213754,0.552680124008942,-0.2059642424252348,0.056124297892752306
ALLE,0.6747081896576521,-0.21797986810135472,0.12609687959112925,0.33220958884723645,-0.16244774548182006,0.039003188170968706,0.48605981483796595,-0.1652764487007129,0.05876771301517736,0.16418078971020586,-0.1408077487620114,0.012023558902995557
ALXN,0.30637818818206003,-0.5299268668206314,0.04584790390372495,0.005912410782449416,-0.4140931715653108,-0.02232549108170989,0.26506591766762777,-0.2123550682925489,0.027715440989908968,-0.14123079202848132,-0.21176785301516066,-0.016059469778814117
