,cagr,vol,sharpe,max_dd,n_months
buy_hold,0.09387518003505058,0.1401256766267902,0.39260437140724996,-0.8175983465052695,1866.0
trend,0.11251485159308383,0.09417512503079958,0.7086499366676234,-0.41044496173877953,1865.0
voltgt,0.09072341355497904,0.115844471097668,0.42459054828845916,-0.5708954850433225,1854.0
trend_voltgt,0.10798545884476418,0.08208190118637741,0.7507100586326957,-0.27291032749840727,1854.0
